O5,-7.3,[H]N1CC=C2C=C(C=CC2O1)S(=O)(=O)OC1=CC=CC=C1
O6,-7.9,C=C[S@](=O)OCc1ccc(cc1)CC(=O)Cc1ccc2c(c1)C=C(NO2)C(=O)C(=O)C=O
O7,-4,C(=C\S(O)(O)OCc1ccc(cc1)C[S@@](Cc1cc2c(C=CNO2)cc1)C(=O)C(=O)C(=O)C=O)\CS(=O)(=O)C=O
O8,-7.7,C=C[S@](=O)(CCC1=Cc2c(cc(cc2)C(=O)C(=O)C=O)ON1)[C@@H](Cc1ccccc1)C(=O)C(=O)C=O
O9,-3.5,C=C[S@](=O)OCc1ccc(cc1)C[S@](=O)(Cc1ccc2c(c1)C=C(NO2)C(=O)C(=O)C=O)C(=O)C(=O)C=O
O10,-7.2,C(=C\S(=O)(=O)OCc1ccc(cc1)CS(=O)(=O)C)\C(CN1C=Cc2c(cccc2)O1)(O)O
P1,-7.5,C(=C(S(=O)(=O)OCc1ccc(cc1)F)N1CCN(CC1)F)=O
P2,-7.6,C=C(S(=O)(=O)OCc1ccc(cc1)F)N1CCN(CC1)C(F)(F)F
P3,-7.6,C(=C(\S(=O)(=O)OCc1cc(cc(c1)F)F)/N1CC(=O)NC(=O)C1)/C#N
P4,-7.9,C(=C(\S(=O)(=O)OCc1cc(cc(c1)F)F)/F)\[C@@H]1CNC(=O)CN1
P5,-6.6,C(=C(\S(=O)(=O)OCc1ccccc1)Cl)C1CNCCN1
P6,-6.3,C=CS(=O)(=O)O[C@H](c1ccccc1)N1CCNCC1
P7,-8.7,C(=C(\S(=O)(=O)OCc1ccc(cc1)[C@@H]1CNCCN1)/F)(\[C@@H]1CNCCN1)/F
P8,-7.2,C(=C\S(=O)(=O)OC(=O)c1c(cc(cc1F)F)F)(N1CCNCC1)F
P9,-6.4,C=CS(=O)(=O)O[C@](c1ccccc1)(C#CN1CCNCC1)C#N
P10,-3.4,C(=C(S(=O)(=O)OC(c1ccccc1)(F)F)ON1CCNCC1)(F)F
